Target,Source,Interaction
KT2442,KT2442,-1
KT2442,RDP22,0
KT2442,RDP27,0
KT2442,E5,-1
KT2442,RP5,0
KT2442,BM7,0
KT2442,BM12,0
KT2442,BM25,0
KT2442,R23,0
KT2442,S20,1
KT2442,RPA1,0
KT2442,RPC5,0
KT2442,SH9,-1
KT2442,RCH25,0
KT2442,E15,-2
KT2442,BM23,-1
KT2442,E4,0
KT2442,RPE3,0
KT2442,Z2,0
KT2442,RDH25,0
KT2442,SCH24,0
KT2442,E12,0
KT2442,BM13,0
KT2442,BM1,0
KT2442,SCH4,0
KT2442,BM4,-1
KT2442,RDH6,-1
KT2442,RCH20P,0
KT2442,BM16,0
KT2442,RP5H,0
KT2442,BM9,0
KT2442,SCH11,0
RDP22,KT2442,-2
RDP22,RDP22,0
RDP22,RDP27,-1
RDP22,E5,-1
RDP22,RP5,0
RDP22,BM7,0
RDP22,BM12,0
RDP22,BM25,0
RDP22,R23,0
RDP22,S20,0
RDP22,RPA1,0
RDP22,RPC5,0
RDP22,SH9,1
RDP22,RCH25,1
RDP22,E15,0
RDP22,BM23,0
RDP22,E4,0
RDP22,RPE3,0
RDP22,Z2,0
RDP22,RDH25,0
RDP22,SCH24,-4
RDP22,E12,0
RDP22,BM13,0
RDP22,BM1,0
RDP22,SCH4,-6
RDP22,BM4,0
RDP22,RDH6,-4
RDP22,RCH20P,-4
RDP22,BM16,0
RDP22,RP5H,0
RDP22,BM9,0
RDP22,SCH11,1
RDP27,KT2442,0
RDP27,RDP22,0
RDP27,RDP27,0
RDP27,E5,-1
RDP27,RP5,0
RDP27,BM7,0
RDP27,BM12,0
RDP27,BM25,0
RDP27,R23,0
RDP27,S20,0
RDP27,RPA1,0
RDP27,RPC5,-2
RDP27,SH9,0
RDP27,RCH25,0
RDP27,E15,-1
RDP27,BM23,-1
RDP27,E4,0
RDP27,RPE3,0
RDP27,Z2,0
RDP27,RDH25,0
RDP27,SCH24,0
RDP27,E12,0
RDP27,BM13,0
RDP27,BM1,0
RDP27,SCH4,0
RDP27,BM4,-1
RDP27,RDH6,-2
RDP27,RCH20P,0
RDP27,BM16,0
RDP27,RP5H,0
RDP27,BM9,0
RDP27,SCH11,0
E5,KT2442,-2
E5,RDP22,0
E5,RDP27,0
E5,E5,0
E5,RP5,0
E5,BM7,0
E5,BM12,0
E5,BM25,0
E5,R23,0
E5,S20,0
E5,RPA1,0
E5,RPC5,0
E5,SH9,3
E5,RCH25,-6
E5,E15,-2
E5,BM23,0
E5,E4,0
E5,RPE3,0
E5,Z2,0
E5,RDH25,9
E5,SCH24,8
E5,E12,8
E5,BM13,10
E5,BM1,4
E5,SCH4,0
E5,BM4,0
E5,RDH6,-2
E5,RCH20P,7
E5,BM16,9
E5,RP5H,0
E5,BM9,0
E5,SCH11,0
RP5,KT2442,-1
RP5,RDP22,0
RP5,RDP27,0
RP5,E5,0
RP5,RP5,0
RP5,BM7,0
RP5,BM12,0
RP5,BM25,0
RP5,R23,0
RP5,S20,0
RP5,RPA1,0
RP5,RPC5,-1
RP5,SH9,0
RP5,RCH25,-3
RP5,E15,-1
RP5,BM23,0
RP5,E4,0
RP5,RPE3,0
RP5,Z2,0
RP5,RDH25,0
RP5,SCH24,0
RP5,E12,0
RP5,BM13,0
RP5,BM1,0
RP5,SCH4,0
RP5,BM4,0
RP5,RDH6,0
RP5,RCH20P,-1
RP5,BM16,0
RP5,RP5H,0
RP5,BM9,0
RP5,SCH11,0
BM7,KT2442,-1
BM7,RDP22,0
BM7,RDP27,0
BM7,E5,-1
BM7,RP5,-1
BM7,BM7,0
BM7,BM12,0
BM7,BM25,0
BM7,R23,0
BM7,S20,0
BM7,RPA1,0
BM7,RPC5,0
BM7,SH9,-4
BM7,RCH25,-4
BM7,E15,0
BM7,BM23,0
BM7,E4,0
BM7,RPE3,0
BM7,Z2,0
BM7,RDH25,0
BM7,SCH24,0
BM7,E12,0
BM7,BM13,0
BM7,BM1,0
BM7,SCH4,0
BM7,BM4,0
BM7,RDH6,0
