Strain_ID,KT2442,RDP22,RDP27,E5,RPE1,KT2442.Fe,RDP22.Fe,RDP27.Fe,E5.Fe,RPE1.Fe
KT2442,NA,0,-1,-2,0,NA,8,0,0,0
RCH20P,-3,-2,-5,-4,-2,0,0,-1,-2,0
BM16,-3,-2,-4,-5,-1,0,0,0,-2,0
R1,0,0,-3,-10,-4,0,0,0,-7,-2
RDH1,-5,-2,-4,-5,-4,0,0,-1,-1,-1
BM17,-4,-3,-2,-3,-3,-1,1,-3,-5,-3
E15,-6,0,-3,-3,-1,0,0,-5,0,0
BM23,-7,-3,-7,-7,-8,-4,0,-4,-5,-5
E4,0,0,3,3,2,0,5,5,0,5
Z2,-3,0,-1,-7,-5,-1,10,-4,-8,-3
RCH3,-3,0,-1,-3,-3,NA,0,-3,-3,-2
RP5C,-1,7,-1,-5,-7,-2,2,0,-2,0
BM21,-2,-1,-2,-1,-1,0,0,0,0,0
RCH25,-2,-2,-2,-2,-2,0,0,0,0,0
RDH20,-1,-3,-7,-10,0,0,-2,1,-2,-1
RDH25,-2,2,3,-1,0,2,1,3,-2,6
SCH24,-5,1,3,-5,0,0,0,0,-4,0
BM13,-3,-2,-2,-8,-3,0,0,0,-6,-1
BM1,0,-5,0,-10,-7,0,0,0,-7,-2
SCH4,-3,-1,-3,-10,-5,0,0,-4,-2,1
RDH6,-5,-1,-2,-10,-4,0,0,0,-9,0
BM7,-7,-3,-1,-6,-7,-1,3,0,-5,-6
BM12,-7,-3,-8,-8,-8,-4,5,-4,-8,-8
BM25,0,2,3,-3,-2,0,0,0,0,0
R23,-3,0,-5,-6,-6,-5,8,-2,-4,-5
S20,-2,2,-1,-5,-3,-1,7,0,-2,-3
RPA1,-1,0,-2,-2,0,0,1,0,0,-1
RDP22,-4,NA,0,11,5,0,NA,0,7,-1
RDP27,-3,0,NA,0,0,0,2,NA,0,0
E5,-2,0,0,NA,-1,0,0,0,NA,0
RPE1,-2,0,-5,-3,NA,0,0,0,0,NA
RP5H,-1,0,-4,-10,-6,-2,-3,-1,-10,-2
SCH11,-5,-2,-3,-4,-5,-6,0,-4,-4,-5
