Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_E05,Luteibacter_E22,Lysobacter_E23,Stenotrophomonas_R24,Dyella_R26,Enterobacter_R25,Variovorax_R27,Acidovorax_R28,Massilia_S14,Massilia_R31,Ralstonia_R29,Burkholderia_R30,Ensifer_E15,Ensifer_R19,Agrobacterium_E04,Methylobacterium_R20,Sphingobium_R21,Exiguobacterium_R17,Bacillus_S18,Paenibacillus_E12,Nocardioides_E09,Cellulosimicrobium_E16,Micrococcus_S10,Microbacterium_E13,Arthrobacter_R11,Streptomyces_R07,Streptomyces_E08,Hymenobacter_R03,Dyadobacter_E01,Chryseobacterium_S02,Pedobacter_R06
Pseudomonas_putida_KT2442,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Pseudomonas_E05,10,0,0,2,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,6,10,0,0,0,0,0,10
Luteibacter_E22,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0
Lysobacter_E23,0,0,0,0,2,0,0,0,0,0,1,-1,-1,0,0,0,0,0,-2,0,1,0,0,0,0,-1,0,0,0,0,0,0
Stenotrophomonas_R24,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0
Dyella_R26,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-2,-1,-1,-1,0,0,0
Enterobacter_R25,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variovorax_R27,0,-5,1,0,0,0,-1,0,-2,1,0,0,-2,-3,-5,-5,0,1,-1,-6,-1,0,-1,-3,-1,-3,1,-1,-1,0,-1,0
Acidovorax_R28,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-3,0,0,0,0,0,-3,0,0,0,0,0,0
Massilia_S14,0,0,0,0,0,0,0,0,0,-1,0,0,-2,0,0,0,0,0,0,-1,3,0,0,0,0,0,-1,-1,0,0,0,0
Massilia_R31,0,0,0,0,0,0,1,0,0,0,0,-1,10,0,0,0,0,0,0,-1,0,0,0,0,0,-2,-1,-1,0,0,0,0
